timestamp,cycle,contract,side,entry_price,size,edge,confidence,status,exit_price,pnl
2026-04-03T04:02:43.767691,1,Houston.02,NO,0.9995,10.0,0.9665,0.95,open,,
2026-04-03T04:02:43.768492,1,Chicago.06,YES,0.0205,10.0,0.5732,0.95,open,,
2026-04-03T04:03:47.309447,2,Lucknow.06,YES,0.445,10.0,0.545,0.95,open,,
2026-04-03T04:05:42.424769,1,Houston.02,NO,0.9995,10.0,0.9791,0.95,open,,
2026-04-03T04:05:42.425362,1,Chicago.06,YES,0.0205,10.0,0.8722,0.95,open,,
2026-04-03T04:05:50.544288,4,Chicago.03,NO,0.9375,10.0,0.5802,0.95,open,,
2026-04-03T04:06:53.252748,5,Houston.02,NO,0.9995,10.0,,0.95,closed,1.29935,3.0
2026-04-03T04:07:50.249956,3,Lucknow.06,YES,0.445,10.0,0.545,0.95,open,,
2026-04-03T04:07:55.972407,6,Houston.02,NO,0.9995,10.0,0.9608,0.95,open,,
2026-04-03T04:09:59.007438,5,Chicago.06,YES,0.0205,10.0,,0.95,closed,0.026650000000000004,3.0
2026-04-03T04:11:03.273023,6,Chicago.03,NO,0.942,10.0,0.5506,0.95,open,,
2026-04-03T04:11:04.789726,9,Lucknow.06,YES,0.445,10.0,,0.95,closed,0.5785,3.0
